,MSZoning,GrLivArea,YrSold,YearBuilt,SalePrice,LotArea,FullBath,BedroomAbvGr,TotRmsAbvGrd,GarageCars,GarageFinish,1stFlrSF,2ndFlrSF
52,RM,816,2010,1963,110000,8472,1,2,5,2,Unf,816,0
53,RL,1842,2006,1981,385000,50271,0,0,5,3,Fin,1842,0
54,RL,1360,2007,1955,130000,7134,1,3,6,2,Unf,1360,0
55,RL,1425,2008,1964,180500,10175,2,3,7,2,RFn,1425,0
56,FV,1739,2009,1999,172500,2645,2,3,7,2,Fin,983,756
57,RL,1720,2006,2004,196500,11645,2,3,7,2,RFn,860,860
58,RL,2945,2006,2006,438780,13682,3,3,10,3,Fin,1426,1519
59,RL,780,2008,1972,124900,7200,1,2,4,1,Unf,780,0
60,RL,1158,2006,2004,158000,13072,1,3,5,2,Unf,1158,0
61,RM,1111,2007,1920,101000,7200,1,3,6,1,Unf,581,530
62,RL,1370,2007,2006,202500,6442,2,2,6,2,RFn,1370,0
63,RM,1710,2010,1921,140000,10300,2,3,9,2,Unf,902,808
64,RL,2034,2009,1997,219500,9375,2,3,8,2,RFn,1057,977
65,RL,2473,2007,2004,317000,9591,2,4,9,3,RFn,1143,1330
66,RL,2207,2010,1970,180000,19900,2,3,7,2,RFn,2207,0
67,RL,1479,2007,2003,226000,10665,2,3,7,2,RFn,1479,0
68,RM,747,2010,1945,80000,4608,1,2,4,1,Unf,747,0
69,RL,2287,2006,1953,225000,15593,2,3,7,2,Fin,1304,983
70,RL,2223,2007,1973,244000,13651,2,3,8,2,Fin,2223,0
71,RL,845,2007,1982,129500,7599,1,2,4,2,Unf,845,0
72,RL,1718,2009,1998,185000,10141,2,3,7,2,Fin,885,833
73,RL,1086,2010,1954,144900,10200,1,3,6,2,Unf,1086,0
74,RM,1605,2010,1915,107400,5790,2,3,8,1,Unf,840,765
75,RM,988,2009,1973,91000,1596,1,2,5,1,Unf,526,462
76,RL,952,2008,1956,135750,8475,1,2,4,1,Unf,952,0
77,RM,1285,2008,1948,127000,8635,1,2,6,1,Unf,1072,213
78,RL,1768,2010,1968,136500,10778,2,4,8,0,,1768,0
79,RM,1230,2009,1910,110000,10440,1,2,5,2,Unf,682,548
80,RL,2142,2009,1968,193500,13000,2,4,8,1,Fin,1182,960
81,RM,1337,2006,1998,153500,4500,2,2,5,2,Fin,1337,0
82,RL,1563,2008,2007,245000,10206,2,3,6,3,RFn,1563,0
83,RL,1065,2007,1960,126500,8892,1,3,6,2,Unf,1065,0
84,RL,1474,2009,1995,168500,8530,2,3,7,2,Fin,804,670
85,RL,2417,2006,1991,260000,16059,2,4,9,2,Unf,1301,1116
86,RL,1560,2009,2005,174000,11911,2,3,6,2,Fin,684,876
87,FV,1224,2009,2009,164500,3951,2,2,4,2,RFn,612,612
88,C (all),1526,2009,1915,85000,8470,1,2,6,0,,1013,0
89,RL,990,2007,1994,123600,8070,1,3,5,0,,990,0
90,RL,1040,2006,1950,109900,7200,1,2,4,2,Unf,1040,0
91,RL,1235,2006,1961,98600,8500,1,2,6,2,Unf,1235,0
92,RL,964,2009,1921,163500,13360,1,2,5,2,Unf,964,0
93,C (all),2291,2007,1910,133900,7200,2,4,9,2,Unf,1260,1031
94,RL,1786,2007,1997,204750,9337,2,3,7,2,RFn,905,881
95,RL,1470,2009,1993,185000,9765,2,3,6,2,Fin,680,790
96,RL,1588,2006,1999,214000,10264,2,3,6,2,RFn,1588,0
97,RL,960,2007,1965,94750,10921,1,3,6,1,Fin,960,0
98,RL,835,2010,1920,83000,10625,1,2,5,1,Unf,835,0
99,RL,1225,2010,1959,128950,9320,1,3,6,0,,1225,0
100,RL,1610,2010,1977,205000,10603,2,3,6,2,RFn,1610,0
101,RL,1732,2010,1985,178000,9206,2,3,7,2,Fin,977,755
102,RL,1535,2009,1979,118964,7018,2,4,8,2,Unf,1535,0
103,RL,1226,2010,2009,198900,10402,2,3,6,3,RFn,1226,0
104,RM,1818,2007,1931,169500,7758,1,4,7,1,Unf,1226,592
105,FV,1992,2008,2003,250000,9375,2,3,9,2,RFn,1053,939
106,RM,1047,2007,1885,100000,10800,1,2,6,1,Unf,1047,0
107,RM,789,2008,1948,115000,6000,1,2,5,1,Unf,789,0
108,RM,1517,2007,1919,115000,8500,2,3,7,0,,997,520
109,RL,1844,2010,1977,190000,11751,2,3,7,2,RFn,1844,0
110,RL,1855,2006,1954,136900,9525,2,4,7,1,Unf,1216,639
111,RL,1430,2010,2000,180000,7750,2,3,7,2,Fin,774,656
112,RL,2696,2007,2007,383970,9965,2,4,10,3,Fin,1282,1414
113,RL,2259,2007,1953,217000,21000,2,3,7,2,Unf,2259,0
114,RL,2320,2007,1945,259500,7259,2,3,9,1,Unf,1436,884
115,FV,1458,2007,1999,176000,3230,2,2,5,2,Unf,729,729
116,RL,1092,2009,1962,139000,11616,1,3,6,1,Unf,1092,0
117,RL,1125,2007,2006,155000,8536,1,2,5,2,Unf,1125,0
118,RL,3222,2010,1990,320000,12376,3,5,11,3,Unf,1699,1523
119,RL,1456,2006,2005,163990,8461,2,3,8,2,Fin,728,728
120,RL,988,2006,1969,180000,21453,1,1,4,2,Unf,988,0
121,RM,1123,2007,1939,100000,6060,1,3,4,1,Unf,772,351
122,RL,1080,2008,1958,136000,9464,1,3,5,1,Unf,1080,0
123,RL,1199,2008,1993,153900,7892,2,2,5,2,RFn,1199,0
124,RL,1586,2009,1979,181000,17043,2,3,7,2,Unf,1586,0
125,RM,754,2006,1935,84500,6780,1,2,5,0,,520,0
126,RL,958,2007,1976,128000,4928,2,2,5,2,RFn,958,0
127,RM,840,2007,1930,87000,4388,1,3,5,0,,840,0
128,RL,1348,2006,1966,155000,7590,1,3,6,2,RFn,660,688
129,RL,1053,2006,1958,150000,8973,1,3,6,2,RFn,1053,0
130,RL,2157,2006,1966,226000,14200,2,4,8,2,Fin,1216,941
131,RL,2054,2009,2000,244000,12224,2,3,7,2,RFn,1022,1032
132,RL,1327,2007,1959,150750,7388,1,3,7,2,Unf,1327,0
133,RL,1296,2009,2001,220000,6853,2,2,6,2,Fin,1296,0
134,RL,1721,2006,1968,180000,10335,2,3,7,2,RFn,1721,0
135,RL,1682,2008,1970,174000,10400,2,3,7,2,Unf,1682,0
136,RL,1214,2007,1967,143000,10355,2,3,5,1,RFn,1214,0
137,RL,1959,2006,1988,171000,11070,3,5,9,3,Unf,1959,0
138,RL,1852,2008,1999,230000,9066,2,3,7,3,Fin,1004,848
139,RL,1764,2009,1997,231500,15426,2,3,7,2,RFn,928,836
140,RL,864,2010,1971,115000,10500,1,3,5,0,,864,0
141,RL,1734,2006,2005,260000,11645,2,3,7,2,Fin,1734,0
142,RL,1385,2010,1952,166000,8520,2,4,6,2,Unf,910,475
143,RL,1501,2009,1999,204000,10335,2,3,6,2,RFn,1501,0
144,RM,1728,2006,1963,125000,9100,2,6,10,2,Unf,1728,0
145,RM,1709,2006,2004,130000,2522,2,3,7,2,Unf,970,739
146,RM,875,2009,1931,105000,6120,1,2,5,1,Unf,875,0
147,RL,2035,2010,2001,222500,9505,2,3,8,2,Fin,884,1151
148,RL,1080,2008,2004,141000,7500,1,3,6,0,,1080,0
149,RM,1344,2006,1936,115000,6240,1,3,7,1,Unf,896,448
150,RL,969,2007,1975,122000,10356,1,3,5,2,Unf,969,0
151,RL,1710,2008,2007,372402,13891,2,2,6,3,RFn,1710,0
152,RL,1993,2006,1971,190000,14803,2,4,8,2,RFn,1097,896
153,RL,1252,2008,1960,235000,13500,1,1,4,2,RFn,1252,0
154,RM,1200,2006,1923,125000,11340,1,4,7,1,Unf,1200,0
155,RL,1096,2008,1924,79000,9600,1,2,5,0,,572,524
156,RL,1040,2006,1950,109500,7200,1,2,5,2,Unf,1040,0
157,RL,1968,2010,2009,269500,12003,2,4,8,3,Fin,774,1194
158,FV,1947,2010,2004,254900,12552,2,3,8,2,RFn,991,956
159,RL,2462,2006,2005,320000,19378,2,4,9,2,RFn,1392,1070
160,RL,1232,2008,1984,162500,11120,2,3,6,2,Unf,1232,0
161,RL,2668,2008,2003,412500,13688,2,3,10,3,Fin,1572,1096
162,RL,1541,2010,2005,220000,12182,2,3,7,2,RFn,1541,0
163,RL,882,2007,1956,103200,5500,1,1,4,0,,882,0
164,RM,1616,2007,1926,152000,5400,2,3,5,1,Unf,1149,467
165,RL,1355,2008,1940,127500,10106,2,4,6,0,,808,547
166,RL,1867,2009,1955,190000,10708,1,2,7,1,Fin,1867,0
167,RL,2161,2007,2007,325624,10562,1,3,8,3,Fin,1610,551
168,RL,1720,2007,2004,183500,8244,2,3,7,2,Fin,840,880
169,RL,1707,2006,1981,228000,16669,2,2,6,2,RFn,1707,0
170,RM,1382,2007,1941,128500,12358,1,2,7,2,Unf,854,0
171,RL,1656,2010,1960,215000,31770,1,3,7,2,Fin,1656,0
172,RL,1767,2006,1987,239000,5306,2,2,5,2,RFn,1064,703
173,RL,1362,2008,1961,163000,10197,1,3,6,2,Unf,1362,0
174,RL,1651,2008,1986,184000,12416,2,3,7,2,Fin,1651,0
175,RL,2158,2007,1950,243000,12615,2,4,7,2,Unf,2158,0
176,RL,2060,2007,1988,211000,10029,2,4,8,2,Unf,1164,896
177,RL,1920,2006,1958,172500,13650,2,4,8,2,Unf,1252,668
178,RL,2234,2009,2008,501837,17423,2,1,9,3,Fin,2234,0
179,RM,968,2007,1923,100000,8520,1,2,5,2,Unf,968,0
180,FV,1525,2007,2000,177000,2117,2,3,5,2,Unf,769,756
181,RL,1802,2006,1920,200100,7588,1,4,9,1,Unf,901,901
182,RL,1340,2007,1957,120000,9060,1,3,7,1,RFn,1340,0
183,RM,2082,2008,2003,200000,11426,2,3,6,2,Unf,1362,720
184,RL,1252,2006,1908,127000,7438,1,3,5,2,Unf,936,316
185,RM,3608,2006,1892,475000,22950,2,4,12,3,Unf,1518,1518
186,RL,1217,2009,1990,173000,9947,2,3,6,2,Unf,1217,0
187,RL,1656,2009,1916,135000,10410,2,3,8,1,Unf,808,704
188,RL,1224,2009,1979,153337,7018,0,2,6,2,Unf,1224,0
189,RL,1593,2008,2001,286000,4923,1,0,5,2,Fin,1593,0
190,RL,2727,2007,1932,315000,10570,2,3,10,2,Unf,1549,1178
191,RL,1479,2007,1972,184000,7472,1,4,7,2,Fin,725,754
192,RL,1431,2009,1999,192000,9017,2,3,6,2,Fin,1431,0
193,RM,1709,2006,2004,130000,2522,2,3,7,2,Unf,970,739
194,RL,864,2008,1972,127000,7180,1,3,5,1,Unf,864,0
195,RL,1456,2009,1976,148500,2280,2,3,7,2,Unf,855,601
196,RL,1726,2007,2007,311872,9416,2,3,8,3,Fin,1726,0
197,RL,3112,2006,1918,235000,25419,2,4,8,2,Unf,1360,1360
198,RM,2229,2009,1912,104000,5520,1,5,8,0,,929,929
199,RL,1713,2009,2004,274900,9591,2,3,7,3,Fin,1713,0
200,RM,1121,2010,2003,140000,8546,2,2,5,2,RFn,1121,0
201,RL,1279,2008,1977,171500,10125,2,3,6,2,Unf,1279,0
202,RL,1310,2006,1924,112000,7000,2,2,6,1,Unf,865,445
203,RM,848,2008,2004,149000,4438,1,1,3,2,RFn,848,0
204,RM,1284,2009,1947,110000,3500,1,2,5,1,Unf,720,564
205,RL,1442,2009,1990,180500,11851,2,3,5,2,RFn,1442,0
206,RL,1696,2007,1962,143900,13673,1,3,8,1,RFn,1696,0
207,RL,1100,2008,1960,141000,12493,1,3,6,1,RFn,1100,0
208,RL,2062,2007,1988,277000,14364,2,3,7,2,Fin,1180,882
209,RL,1092,2008,1964,145000,8250,1,3,6,2,RFn,1092,0
210,RL,864,2008,1925,98000,5604,1,2,5,0,,864,0
211,RL,1212,2010,2009,186000,10420,2,3,6,2,RFn,1212,0
212,FV,1852,2009,2009,252678,8640,2,3,7,2,RFn,932,920
213,RL,990,2006,1995,156000,13568,1,3,5,2,Unf,990,0
214,RL,1392,2010,1977,161750,10900,1,3,6,1,Fin,689,703
215,RL,1236,2006,1957,134450,10011,1,2,6,1,Unf,1236,0
216,RL,1436,2008,2004,210000,8450,2,3,8,2,Unf,1436,0
217,RM,1328,2006,1925,107000,9906,1,3,8,1,Unf,810,518
218,RL,1954,2008,1939,311500,15660,1,3,8,2,Unf,1137,817
219,RL,1248,2006,2005,167240,3010,2,2,5,2,Fin,1248,0
220,RL,1498,2006,2006,204900,8990,2,2,5,2,RFn,1498,0
221,RL,2267,2009,2002,200000,8068,2,4,8,2,RFn,1010,1257
222,RL,1552,2006,1975,179900,11475,2,3,6,2,RFn,811,741
223,RL,864,2009,1971,97000,10500,1,2,4,2,Unf,864,0
224,RL,2392,2009,2003,386250,13472,2,3,8,3,Fin,2392,0
225,RM,1302,2009,1971,112000,1680,2,3,6,1,Unf,630,672
226,RL,2520,2007,1995,290000,9950,2,4,9,3,RFn,1214,1306
227,RM,987,2008,1970,106000,1869,1,2,5,1,Unf,483,504
228,RL,912,2010,1967,125000,8521,1,3,5,1,Unf,912,0
229,RL,1555,2009,2005,192500,3182,2,2,7,2,Fin,1555,0
230,RL,1194,2010,1959,148000,8760,1,3,6,1,RFn,1194,0
231,RL,2794,2009,1995,403000,15138,2,4,9,3,Fin,1490,1304
232,RM,987,2006,1972,94500,1680,1,2,5,1,Unf,483,504
233,RL,894,2010,1976,128200,10650,1,3,5,1,Unf,894,0
234,RL,1960,2010,2002,216500,7851,2,4,8,2,Fin,860,1100
235,RM,987,2008,1971,89500,1680,1,2,5,1,Unf,483,504
236,RL,1414,2010,2004,185500,8773,2,3,6,2,RFn,1414,0
237,RL,1744,2010,1993,194500,9453,2,3,7,2,RFn,1014,730
238,RL,1694,2007,2007,318000,12030,2,3,7,3,Fin,1694,0
239,RL,1487,2010,1945,113000,8741,1,3,7,1,Unf,798,689
240,FV,1566,2010,2008,262500,9000,2,3,7,2,RFn,1566,0
241,RM,866,2007,1945,110500,3880,1,2,4,0,,866,0
242,RM,1440,2006,1900,79000,5000,1,3,6,1,Unf,889,551
243,RL,1217,2009,1980,120000,10762,1,3,6,1,RFn,626,591
244,RL,2110,2010,1994,205000,8880,2,3,8,2,RFn,1222,888
245,RL,1872,2006,1988,241500,10400,2,3,6,2,Fin,1872,0
246,RM,1928,2006,1910,137000,9142,2,4,9,1,Unf,908,1020
247,RL,1375,2006,1954,140000,11310,1,2,5,2,Unf,1375,0
248,RL,1668,2007,2003,180000,11317,2,3,8,2,RFn,840,828
249,RL,2144,2007,1958,277000,159000,2,4,7,2,Fin,1444,700
250,RL,1306,2010,1940,76500,5350,1,3,6,0,,1306,0
251,RM,1625,2007,2006,235000,4750,2,2,5,2,Fin,1625,0
252,RL,1640,2008,2004,173000,8366,2,3,6,2,RFn,798,842
253,RL,1302,2007,1964,158000,9350,2,3,7,1,RFn,1302,0
254,RL,1314,2010,1957,145000,8400,1,3,5,1,RFn,1314,0
255,RL,2291,2006,1999,230000,8738,2,4,8,2,Fin,1005,1286
256,FV,1728,2008,2003,207500,8791,2,3,7,2,RFn,864,864
257,RL,1604,2009,2006,220000,8814,2,3,8,2,RFn,1604,0
258,RL,1792,2008,2001,231500,12435,2,3,7,2,RFn,963,829
259,RM,882,2008,1956,97000,12702,1,2,4,1,Unf,882,0
260,RL,1382,2009,1962,176000,19296,1,3,6,2,Unf,1382,0
261,RL,2574,2007,2007,276000,9588,2,3,10,3,Fin,1482,1092
262,RL,1212,2006,1977,151000,8471,1,3,6,2,Unf,1212,0
263,RM,1316,2010,1929,130000,5500,1,3,6,2,Unf,926,0
264,RM,764,2008,1925,73000,5232,1,2,4,2,Unf,764,0
265,RL,1422,2008,1981,175500,12090,2,3,7,2,Fin,1422,0
266,RL,1511,2006,1997,185000,11207,2,3,8,2,Fin,802,709
267,RL,2192,2008,1939,179500,8400,2,4,8,1,Unf,1052,720
268,RM,778,2008,1940,120500,6900,1,2,4,1,Fin,778,0
269,RL,1113,2007,1976,148000,7917,1,3,6,1,RFn,1113,0
270,FV,1939,2006,2006,266000,10728,2,3,8,3,RFn,1095,844
271,RL,1363,2008,1954,241500,39104,1,2,5,2,Unf,1363,0
272,RL,2270,2010,1999,290000,11764,2,4,9,3,Fin,1164,1106
273,RL,1632,2009,1958,139000,9600,2,3,6,1,RFn,1632,0
274,RL,816,2007,1982,124500,8314,1,2,5,1,Unf,816,0
275,RL,1548,2009,1925,205000,7264,2,3,5,2,Unf,952,596
276,RL,1560,2010,2003,201000,9196,2,3,7,2,Fin,1560,0
277,RL,864,2010,1951,141000,19138,1,2,4,2,Unf,864,0
278,RL,2121,2007,2006,415298,14450,2,3,8,3,Fin,2121,0
279,RL,2022,2008,1977,192000,10005,2,4,8,2,Fin,1156,866
280,RL,1982,2007,1989,228500,11287,2,3,7,2,Fin,1175,807
281,FV,1262,2006,2006,185000,7200,2,2,5,2,Fin,1262,0
282,RL,1314,2009,2007,207500,5063,2,2,6,2,RFn,1314,0
283,RL,1468,2009,2008,244600,9612,2,3,6,3,Fin,1468,0
284,RL,1575,2007,1992,179200,8012,2,2,5,2,RFn,1575,0
285,FV,1250,2007,2006,164700,4251,2,2,5,2,RFn,625,625
286,RL,1734,2006,1962,159000,9786,1,3,7,2,RFn,1085,649
287,RL,858,2006,1971,88000,8125,1,3,5,0,,858,0
288,RL,900,2010,1967,122000,9819,1,3,5,1,Unf,900,0
289,RL,1396,2007,1915,153575,8730,1,3,7,1,Unf,698,698
290,RL,1919,2006,2006,233230,15611,2,3,8,2,RFn,1079,840
291,RL,1716,2008,1912,135900,5687,2,6,9,0,,936,780
292,RL,1716,2009,1949,131000,11409,1,3,8,1,Unf,1148,568
293,RL,2263,2006,1977,235000,16659,2,3,9,2,Fin,1468,795
294,RL,1644,2009,1953,167000,9600,1,3,7,2,Fin,1644,0
295,RL,1003,2006,1984,142500,7937,1,3,6,2,Unf,1003,0
296,RM,1558,2007,1950,152000,13710,1,4,6,1,Unf,910,648
297,FV,1950,2007,1997,239000,7399,2,3,7,2,RFn,975,975
298,RL,1743,2007,1968,175000,11700,1,3,7,2,Unf,1041,702
299,RL,1152,2009,1950,158500,14000,1,3,6,1,Unf,1152,0
300,RL,1336,2006,1953,157000,15750,1,2,5,1,Unf,1336,0
301,RL,2452,2007,1998,267000,16226,2,4,9,2,Fin,1210,1242
302,RL,1541,2006,2001,205000,13704,2,3,6,3,RFn,1541,0
303,RL,894,2006,1972,149900,9800,1,3,5,2,Unf,894,0
304,RM,3493,2008,1880,295000,18386,3,3,10,3,Unf,1675,1818
305,RL,2000,2007,2004,305900,10386,2,3,8,3,Fin,2000,0
306,RL,2243,2007,1990,225000,13474,2,4,8,3,RFn,1122,1121
307,RM,1406,2008,1920,89500,7920,1,3,6,0,,1035,371
308,RL,861,2009,1940,82500,12342,1,1,4,2,Unf,861,0
309,RL,1944,2006,2003,360000,12378,2,3,8,3,Fin,1944,0
310,RL,1501,2006,1993,165600,7685,2,3,6,2,Fin,697,804
311,RL,972,2009,1948,132000,8000,1,2,5,1,Unf,972,0
312,RM,1118,2006,1939,119900,7800,1,3,5,2,Unf,793,325
313,RL,2036,2009,1965,375000,215245,2,3,8,2,RFn,2036,0
314,RM,1641,2006,1925,178000,9600,1,3,6,2,Unf,832,809
315,RL,1432,2009,2004,188500,7795,2,3,6,2,Fin,716,716
316,RL,2353,2009,1980,260000,13005,2,4,10,2,RFn,1153,1200
317,FV,1959,2007,2006,270000,9000,2,3,8,3,RFn,1088,871
318,RL,2646,2009,1993,260000,9900,2,4,9,3,RFn,1372,1274
319,RL,1472,2009,1980,187500,14115,2,3,6,2,Unf,1472,0
320,RL,2596,2006,2006,342643,16259,3,4,9,3,RFn,1249,1347
321,RL,2468,2007,2004,354000,12099,2,4,10,3,Fin,1136,1332
322,RL,2730,2007,1986,301000,10380,2,4,8,2,Fin,1553,1177
323,RM,1163,2006,1955,126175,5820,1,3,6,1,Unf,1163,0
324,RL,2978,2010,1967,242000,11275,2,5,11,2,Fin,1898,1080
325,RM,803,2007,1941,87000,5000,1,2,5,2,Unf,803,0
326,RL,1719,2008,1993,324000,10846,1,1,6,2,Fin,1719,0
327,RL,1383,2006,1960,145250,11600,1,3,7,1,RFn,1383,0
328,RL,2134,2009,1916,214500,11888,2,5,10,2,Unf,1445,689
329,RM,1192,2009,1920,78000,6402,1,3,6,1,Unf,596,596
330,RL,1728,2007,1964,119000,10624,2,6,10,1,Unf,1728,0
331,RL,1056,2007,1958,139000,8176,1,3,6,1,RFn,1056,0
332,RL,1629,2009,2003,284000,10655,2,3,7,3,RFn,1629,0
333,RM,1358,2008,2004,207000,8198,2,2,6,2,RFn,1358,0
334,RL,1638,2008,1998,192000,9042,2,3,7,2,Fin,943,695
335,RL,1786,2008,1965,228950,164660,2,3,7,2,Fin,1619,167
336,RL,1922,2007,2005,377426,14157,2,3,8,3,Fin,1922,0
337,RL,1536,2008,2002,214000,9135,2,3,7,2,RFn,1536,0
338,RL,1621,2006,1984,202500,14145,2,3,8,2,RFn,1621,0
339,RL,1215,2009,1958,155000,12400,1,3,6,1,Unf,1215,0
340,RL,1908,2010,2002,202900,14191,2,4,9,2,Fin,993,915
341,RH,841,2009,1950,82000,8400,1,2,4,1,Unf,841,0
342,RL,1040,2006,1949,87500,8544,2,2,6,2,Unf,1040,0
343,RL,1684,2008,2005,266000,8849,2,2,6,2,RFn,1684,0
344,RM,1112,2010,1976,85000,2592,1,3,4,1,Unf,536,576
345,RL,1577,2006,1939,140200,6435,1,3,6,1,Unf,972,605
346,RL,958,2007,1960,151500,12772,1,2,5,1,RFn,958,0
347,RL,1478,2009,1960,157500,17600,2,3,6,2,Unf,1478,0
348,RL,1626,2008,2003,154000,2448,2,2,6,2,RFn,764,862
349,RL,2728,2006,2005,437154,20431,2,4,10,3,Fin,1848,880
350,RL,1869,2007,2007,318061,7820,2,2,6,2,RFn,1869,0
351,RL,1453,2006,1986,190000,5271,1,2,6,2,RFn,1453,0
352,RL,1111,2008,1941,95000,9084,1,3,5,1,Unf,616,495
353,RM,720,2010,1928,105900,8520,1,2,5,2,Unf,720,0
354,RL,1595,2006,1940,140000,8400,1,2,6,1,Unf,1192,403
355,RL,1200,2007,1995,177500,11249,2,3,6,2,RFn,1200,0
356,RL,1167,2009,1992,173000,9248,2,3,6,2,RFn,1167,0
357,RM,1142,2007,1976,134000,4224,1,3,6,2,Fin,1142,0
358,RL,1352,2006,1958,130000,6930,1,3,6,1,Unf,1352,0
359,RL,1924,2006,1998,280000,12011,2,3,7,2,RFn,1086,838
360,RL,912,2007,1978,156000,7540,1,2,5,2,RFn,912,0
361,RL,1505,2008,1940,145000,9144,1,3,8,1,Unf,988,517
362,RL,1922,2009,2003,198500,7301,3,4,7,2,RFn,495,1427
363,RM,987,2009,1972,118000,1680,1,2,5,1,Unf,483,504
364,RL,1574,2006,1976,190000,18800,2,3,6,2,Fin,790,784
365,RM,1344,2009,1920,147000,10690,1,3,6,1,Unf,672,672
366,RL,1394,2009,1963,159000,9500,1,3,6,2,RFn,1394,0
367,RL,1431,2008,1962,165000,9150,1,3,6,1,RFn,1431,0
368,RL,1268,2010,1954,132000,7800,1,2,7,1,Fin,1268,0
369,RL,1287,2010,1959,162000,9830,1,3,7,2,Fin,1287,0
370,RL,1664,2006,2000,172400,8121,2,3,7,2,RFn,953,711
371,RL,1588,2008,1959,134432,17120,2,4,7,2,Fin,1120,468
372,RL,752,2010,1984,125000,7175,1,2,4,1,Unf,752,0
373,RL,1319,2009,1953,123000,10634,1,3,5,1,Unf,1319,0
374,RL,1928,2007,2003,219500,8200,2,4,8,2,Fin,847,1081
375,RL,904,2009,1922,61000,10020,0,1,4,0,,904,0
376,RL,914,2006,1996,148000,8846,1,2,5,2,Unf,914,0
377,FV,2466,2007,2004,340000,11143,3,4,8,2,RFn,1580,886
378,RL,1856,2010,2010,394432,11394,1,1,8,3,Fin,1856,0
