,Unnamed: 0,GrLivArea,YearBuilt,SalePrice,LotArea,FullBath,BedroomAbvGr,TotRmsAbvGrd,GarageCars,1stFlrSF,2ndFlrSF,YearsOld,before_'08,GarageFinish_Fin,GarageFinish_RFn,GarageFinish_Unf,MSZoning_C (all),MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM
17,17,-0.41764394172139646,1967,90000,0.10829906091938826,2,2,6,2,0.34500134005042393,-0.7948908644380686,0.08105925412857821,1,0,0,1,0,0,0,1,0
18,18,-0.763993692808915,2004,159000,0.6149410968505229,1,3,6,2,-0.1257844146200017,-0.7948908644380686,-1.0759597084329706,0,0,0,1,0,0,0,1,0
19,19,-0.3358140554754443,1958,139000,-0.4553925431072977,1,3,6,1,0.4562309414286014,-0.7948908644380686,0.4777514698639664,0,0,0,1,0,0,0,1,0
20,20,1.6376183174792631,2005,325300,0.7056621225682191,3,4,9,3,-0.011968078326052642,1.9953053745014857,-1.1751327623668177,1,0,1,0,0,0,0,1,0
21,21,-0.7754118164711409,1930,139400,-0.47475799282780595,1,3,6,1,-0.1413048241146311,-0.7948908644380686,1.337251270623974,1,0,0,1,0,0,0,0,1
22,22,0.531963342853723,2002,230000,-0.07471316211496444,2,3,7,2,1.635782063020437,-0.7948908644380686,-1.0098443391437393,0,0,1,0,0,0,0,1,0
23,23,-0.866756805768948,1976,129900,-1.0374028157885185,1,3,6,2,-0.26546810007166644,-0.7948908644380686,-0.18340222302834722,1,0,0,1,0,0,0,0,1
24,24,-0.866756805768948,1968,154000,-0.33571057456433684,1,3,6,1,-0.26546810007166644,-0.7948908644380686,0.18023230806242527,0,0,0,1,0,0,0,1,0
25,25,0.16087432383138178,2007,256300,0.7082790752331527,2,3,7,3,1.1313687544449809,-0.7948908644380686,-1.142075077722202,0,0,1,0,0,0,0,1,0
26,26,-1.1712401034283049,1951,134800,-0.5181994070657028,1,3,5,2,-0.6793456865951175,-0.7948908644380686,0.7422129470208918,0,0,0,1,0,0,0,1,0
27,27,0.35878846730996383,2007,306000,0.2281554929733447,2,3,7,3,1.4003891856852242,-0.7948908644380686,-1.1090173930775862,0,0,1,0,0,0,0,1,0
28,28,0.16087432383138178,1957,207500,1.073082276724889,1,2,6,1,1.1313687544449809,-0.7948908644380686,0.41163610057473504,1,0,1,0,0,0,0,1,0
29,29,-1.8943879353692779,1927,68500,-0.6710294426978219,1,1,4,1,-1.6623049545883137,-0.7948908644380686,1.4694820092024368,0,0,0,1,0,0,0,0,1
30,30,-0.3776805089036059,1920,40000,-0.2913968427714621,1,3,6,1,-1.3286161504537815,0.7353645441100614,1.7008858017147466,0,0,0,1,1,0,0,0,0
31,31,-0.5470493432266231,1966,149350,-0.283720448287657,1,3,6,1,0.1691033657779572,-0.7948908644380686,0.18023230806242527,0,0,0,1,0,0,0,1,0
32,32,-0.5356312195643973,2007,179900,0.15331064675624526,2,3,7,2,0.1846237752725866,-0.7948908644380686,-1.1751327623668177,0,0,1,0,0,0,0,1,0
33,33,0.3511763848684799,1959,165500,0.06660228179144709,1,4,6,2,1.390042246022138,-0.7948908644380686,0.4777514698639664,0,0,1,0,0,0,0,1,0
34,34,0.08665652002691351,2005,277500,-0.4984850303232034,2,2,6,2,1.0304860927298898,-0.7948908644380686,-1.142075077722202,1,1,0,0,0,0,0,1,0
35,35,1.7822478838674576,2004,309000,0.56661470430475,3,4,9,3,-0.07922318613611344,2.22896712850135,-1.142075077722202,1,1,0,0,0,0,0,1,0
36,36,-0.7963450431852217,1994,145000,0.120162579667087,1,3,6,2,-0.16975890818811837,-0.7948908644380686,-0.7123251773421981,0,0,0,1,0,0,0,1,0
37,37,-0.4157409211110255,1954,153000,-0.28581401041960386,1,3,5,2,0.3475880749661955,-0.7948908644380686,0.6099822084424291,0,1,0,0,0,0,0,1,0
38,38,-0.872465867600061,1953,109000,-0.3922367521269014,1,3,5,1,-0.27322830481898114,-0.7948908644380686,0.6760975777316605,0,0,0,1,0,0,0,1,0
39,39,-0.6916789096148177,1955,82000,-0.7205770798205637,2,2,6,0,-0.027488487820682056,-0.7948908644380686,0.5438668391531978,0,0,0,0,0,0,0,1,0
40,40,-0.364359364631009,1965,160000,-0.26383160803416206,2,3,6,2,0.41742991769202786,-0.7948908644380686,0.14717462341780957,1,0,1,0,0,0,0,1,0
41,41,-0.35674728218952506,1959,170000,1.174968967146302,1,2,5,1,0.4277768573551141,-0.7948908644380686,0.37857841593011937,1,0,1,0,0,0,0,1,0
42,42,-1.2016884331942406,1983,144000,-0.17276165529447465,1,2,5,2,-0.7207334452474626,-0.7948908644380686,-0.414806015540657,1,0,1,0,0,0,0,1,0
43,43,-1.0989253202342077,1975,130250,-0.16927238507456324,1,3,5,1,-0.5810497597957979,-0.7948908644380686,-0.11728685373911586,0,0,0,1,0,0,0,1,0
44,44,-0.6954849508355597,1959,141000,-0.3882240913740033,1,3,6,1,-0.032661957652225196,-0.7948908644380686,0.34552073128550365,1,0,1,0,0,0,0,1,0
45,45,0.4501334566077709,2005,319900,-0.43829511902973184,2,2,6,2,1.5245524616422594,-0.7948908644380686,-1.0429020237883548,0,0,1,0,0,0,0,1,0
46,46,1.2056326389250505,2003,239686,0.46263445175139045,1,1,6,2,0.9192564913517123,0.6506048882473655,-1.0098443391437393,0,0,1,0,0,0,0,1,0
47,47,0.26744347801215673,2006,249700,0.16151043177303703,2,3,7,3,1.276225909728189,-0.7948908644380686,-1.1751327623668177,1,0,1,0,0,1,0,0,0
48,48,-0.12077272650352343,1920,113000,-0.9969272812375463,2,2,8,0,-1.103570212781655,0.8453230165805856,1.7339434863593624,0,0,0,0,0,0,0,0,1
49,49,-1.066573969857901,1966,127000,-0.423640184106104,1,3,6,1,-0.5370752662276812,-0.7948908644380686,0.14717462341780957,1,0,0,1,0,0,0,1,0
50,50,-0.08651835551684577,1997,177000,0.645297747763752,2,3,6,2,-0.9535395876669038,0.753690956188482,-0.8776136005652765,1,1,0,0,0,0,0,1,0
51,51,-0.6460064149659142,1934,114500,-0.6856843776214497,1,3,6,2,-0.8966314195199293,-0.7948908644380686,1.1719628474008956,1,0,0,1,0,0,0,0,1
52,52,-1.3310938346994674,1963,110000,-0.29628182107933804,1,2,5,2,-0.8966314195199293,-0.7948908644380686,0.34552073128550365,0,0,0,1,0,0,0,0,1
53,53,0.6214053115411592,1981,385000,6.948838863544683,0,0,5,3,1.7573586040617006,-0.7948908644380686,-0.3817483308960413,1,1,0,0,0,0,0,1,0
54,54,-0.29585062265765366,1955,130000,-0.5297139987914105,1,3,6,2,0.5105523746598043,-0.7948908644380686,0.5108091545085821,1,0,0,1,0,0,0,1,0
55,55,-0.1721542829835399,1964,180500,0.0008295381461172792,2,3,7,2,0.6786901441849563,-0.7948908644380686,0.24634767735165664,0,0,1,0,0,0,0,1,0
56,56,0.42539418867294815,1999,172500,-1.3128806996505231,2,3,7,2,-0.46464668858607727,0.9369550769726892,-0.8776136005652765,0,1,0,0,0,1,0,0,0
57,57,0.3892367970758995,2004,196500,0.25729089930960486,2,3,7,2,-0.7828150832259803,1.1751984339921586,-1.142075077722202,1,0,1,0,0,0,0,1,0
58,58,2.7204370447803514,2006,438780,0.6126730712075805,3,3,10,3,0.6812768791007279,2.684836628952065,-1.2081904470114333,1,1,0,0,0,0,0,1,0
59,59,-1.3996025766728226,1972,124900,-0.5181994070657028,1,2,4,1,-0.9897538764877059,-0.7948908644380686,-0.01811379980526882,0,0,0,1,0,0,0,1,0
60,60,-0.6802607859525919,2004,158000,0.5062503295002829,1,3,5,2,-0.011968078326052642,-0.7948908644380686,-1.142075077722202,1,0,0,1,0,0,0,1,0
61,61,-0.7697027546400279,1920,101000,-0.5181994070657028,1,3,6,1,-1.5045141247262481,0.41923393575730394,1.6678281170701308,1,0,0,1,0,0,0,0,1
62,62,-0.27682041655394385,2006,202500,-0.6504427484003447,2,2,6,2,0.53641972381752,-0.7948908644380686,-1.1751327623668177,1,0,1,0,0,0,0,1,0
63,63,0.37020659097218966,1921,140000,0.022637477020563502,2,3,9,2,-0.6741722167635744,1.056076755482424,1.7339434863593624,0,0,0,1,0,0,0,0,1
64,64,0.9867852687323876,1997,219500,-0.13874127065033853,2,3,8,2,-0.27322830481898114,1.4432222106390615,-0.8114982312760451,0,0,1,0,0,0,0,1,0
65,65,1.8222113166852483,2004,317000,-0.10105715227529546,2,4,9,3,-0.05076910206262618,2.2518751435993756,-1.1090173930775862,1,0,1,0,0,0,0,1,0
66,66,1.3160078343265673,1970,180000,1.6974871825780333,2,3,7,2,2.7015168483183234,-0.7948908644380686,0.1141169387731939,0,0,1,0,0,0,0,1,0
67,67,-0.06939117002350693,2003,226000,0.08631665853394647,2,3,7,2,0.8183738296366211,-0.7948908644380686,-1.0759597084329706,1,0,1,0,0,0,0,1,0
68,68,-1.462402256815065,1945,80000,-0.9704088275662197,1,2,4,1,-1.0751161287081676,-0.7948908644380686,0.9405590548885859,0,0,0,1,0,0,0,0,1
69,69,1.4682494831562458,1953,225000,0.9460728407201143,2,3,7,2,0.3656952193765965,1.456967019697877,0.5438668391531978,1,1,0,0,0,0,0,1,0
70,70,1.346456164092503,1973,244000,0.6072647023667178,2,3,8,2,2.7429046069706686,-0.7948908644380686,-0.08422916909450018,1,1,0,0,0,0,0,1,0
71,71,-1.2759062369987089,1982,129500,-0.4485884661784705,1,2,4,2,-0.8216161069625538,-0.7948908644380686,-0.3817483308960413,1,0,0,1,0,0,0,1,0
72,72,0.3854307558551575,1998,185000,-0.005102221227732093,2,3,7,2,-0.7181467103316911,1.1133467932274885,-0.8445559159206608,0,1,0,0,0,0,0,1,0
73,73,-0.8172782698993025,1954,144900,0.005191125921006523,1,3,6,2,-0.19821299226160563,-0.7948908644380686,0.6430398930870448,0,0,0,1,0,0,0,1,0
74,74,0.1703894268832367,1915,107400,-0.7641929575694562,2,3,8,1,-0.8345497815414117,0.9575722905609125,1.9322895942270564,0,0,0,1,0,0,0,0,1
75,75,-1.0037742897156587,1973,91000,-1.4958929226848758,1,2,5,1,-1.6467845450936844,0.26345943309072783,-0.01811379980526882,0,0,0,1,0,0,0,0,1
76,76,-1.072283031689014,1956,135750,-0.2957584305463513,1,2,4,1,-0.544835470974996,-0.7948908644380686,0.5108091545085821,0,0,0,1,0,0,0,1,0
77,77,-0.4385771684354773,1948,127000,-0.2678442687870602,1,2,6,1,-0.2344272810824076,-0.306950142850117,0.7752706316655075,0,0,0,1,0,0,0,0,1
78,78,0.4805817863737066,1968,136500,0.10603103527644585,2,4,8,0,1.5659402202946047,-0.7948908644380686,0.18023230806242527,0,0,0,0,0,0,0,1,0
79,79,-0.5432433020058812,1910,110000,0.04706236855994327,1,2,5,2,-1.2432538982333197,0.46046836293375054,2.064520332805519,0,0,0,1,0,0,0,0,1
80,80,1.1923114946524536,1968,193500,0.4936889567086019,2,4,8,1,0.05011355965246502,1.4042785849724175,0.14717462341780957,0,1,0,0,0,0,0,1,0
81,81,-0.33962009669618626,1998,153500,-0.9892508867537412,2,2,5,2,0.4510574715970583,-0.7948908644380686,-0.9437289698545078,1,1,0,0,0,0,0,0,1
82,82,0.09046256124765548,2007,245000,0.006237906986979942,2,3,6,3,1.0356595625614329,-0.7948908644380686,-1.1751327623668177,0,0,1,0,0,0,0,1,0
83,83,-0.8572417027170931,1960,126500,-0.22300714646119874,1,3,6,2,-0.2525344254928086,-0.7948908644380686,0.34552073128550365,1,0,0,1,0,0,0,1,0
84,84,-0.07890627307536184,1995,168500,-0.286162937441595,2,3,7,2,-0.9276722385091881,0.7399461471296666,-0.7453828619868138,0,1,0,0,0,0,0,1,0
85,85,1.7156421625044733,1991,260000,1.0273728368440498,2,4,9,2,0.3579350146292818,1.7616436205016215,-0.7123251773421981,1,0,0,1,0,0,0,1,0
86,86,0.08475349941654253,2005,174000,0.30369819323442643,2,3,6,2,-1.2380804284017766,1.211851258149,-1.0759597084329706,0,1,0,0,0,0,0,1,0
87,87,-0.554661425668107,2009,164500,-1.085031354290309,2,2,4,2,-1.4243253423373294,0.6070796595611163,-1.2081904470114333,0,0,1,0,0,1,0,0,0
88,88,0.020050798663929177,1915,85000,-0.29663074810132917,1,2,6,0,-0.3870446411129302,-0.7948908644380686,1.8992319095824406,0,0,0,0,1,0,0,0,0
89,89,-0.9999682484949167,1994,123600,-0.3664161524995571,1,3,5,0,-0.44653954417567626,-0.7948908644380686,-0.7784405466314295,1,0,0,0,0,0,0,1,0
90,90,-0.9048172179763676,1950,109900,-0.5181994070657028,1,2,4,2,-0.3172027983870978,-0.7948908644380686,0.6430398930870448,1,0,0,1,0,0,0,1,0
91,91,-0.5337281989540263,1961,98600,-0.2913968427714621,1,2,6,2,0.1872105101883582,-0.7948908644380686,0.2794053619962723,1,0,0,1,0,0,0,1,0
92,92,-1.049446784364562,1921,163500,0.556495820667007,1,2,5,2,-0.513794651985737,-0.7948908644380686,1.7008858017147466,0,0,0,1,0,0,0,1,0
93,93,1.4758615655977296,1910,133900,-0.5181994070657028,2,4,9,2,0.25187888308264744,1.5669254921684015,1.9984049635162877,1,0,0,1,1,0,0,0,0
94,94,0.5148361573603842,1997,204750,-0.1453708840681702,2,3,7,2,-0.6664120120162597,1.223305265698013,-0.8776136005652765,1,0,1,0,0,0,0,1,0
95,95,-0.08651835551684577,1993,185000,-0.07070050136206633,2,3,6,2,-1.2484273680648628,1.0148423283059773,-0.6792674926975825,0,1,0,0,0,0,0,1,0
96,96,0.13803807650693,1999,214000,0.016356790624722988,2,3,6,2,1.100327935455722,-0.7948908644380686,-0.9767866544991236,1,0,1,0,0,0,0,1,0
97,97,-1.057058866806046,1965,94750,0.13097931734881232,1,3,6,1,-0.5241415916488233,-0.7948908644380686,0.18023230806242527,1,1,0,0,0,0,0,1,0
98,98,-1.2949364431024188,1920,83000,0.07933811809412368,1,2,5,1,-0.8474834561202695,-0.7948908644380686,1.767001171003978,0,0,0,1,0,0,0,1,0
99,99,-0.5527584050577361,1959,128950,-0.14833676375509489,1,3,6,0,0.1613431610306425,-0.7948908644380686,0.4777514698639664,0,0,0,0,0,0,0,1,0
100,100,0.1799045299350916,1977,205000,0.07549992085222114,2,3,6,2,1.1572361036026966,-0.7948908644380686,-0.11728685373911586,0,0,1,0,0,0,0,1,0
101,101,0.41207304440035125,1985,178000,-0.16822560400858982,2,3,7,2,-0.4801670980807067,0.9346642754628867,-0.3817483308960413,0,1,0,0,0,0,0,1,0
102,102,0.03717798415726801,1979,118964,-0.5499517660668966,2,4,8,2,0.963230984919829,-0.7948908644380686,-0.21645990767296291,0,0,0,1,0,0,0,1,0
103,103,-0.5508553844473651,2009,198900,0.04043275514211162,2,3,6,3,0.16392989594641408,-0.7948908644380686,-1.1751327623668177,0,0,1,0,0,0,0,1,0
104,104,0.5757328168922556,1931,169500,-0.4208487679301749,1,4,7,1,0.16392989594641408,0.5612636293650645,1.3041935859793583,1,0,0,1,0,0,0,0,1
105,105,0.9068584030968063,2003,250000,-0.13874127065033853,2,3,9,2,-0.2835752444820674,1.3561717532665631,-1.0429020237883548,0,0,1,0,0,1,0,0,0
106,106,-0.8914960737037707,1885,100000,0.10986923251834839,1,2,6,1,-0.29909565397669685,-0.7948908644380686,2.8248470796316796,1,0,0,1,0,0,0,0,1
107,107,-1.3824753911794838,1948,115000,-0.7275556202603866,1,2,5,1,-0.9664732622457617,-0.7948908644380686,0.7752706316655075,0,0,0,1,0,0,0,0,1
108,108,0.002923613170590347,1919,115000,-0.2913968427714621,2,3,7,0,-0.4284323997652753,0.3963259206592781,1.7008858017147466,1,0,0,0,0,0,0,0,1
109,109,0.6252113527619012,1977,190000,0.27578403147513525,2,3,7,2,1.762532073893244,-0.7948908644380686,-0.11728685373911586,0,0,1,0,0,0,0,1,0
110,110,0.6461445794759819,1954,136900,-0.11257174400100307,2,4,7,1,0.13806254678869836,0.6689313003257862,0.5108091545085821,1,0,0,1,0,0,0,1,0
111,111,-0.162639179931685,2000,180000,-0.4222444760181394,2,3,7,2,-1.0052742859823351,0.7078749259924303,-0.8776136005652765,0,1,0,0,0,0,0,1,0
112,112,2.246584912797977,2007,383970,-0.035807799162952375,2,4,10,3,0.30878705122962197,2.444302470422793,-1.2081904470114333,1,1,0,0,0,0,0,1,0
113,113,1.4149649060658582,1953,217000,1.88939704467316,2,3,7,2,2.8360270639384453,-0.7948908644380686,0.5769245237978134,1,0,0,1,0,0,0,1,0
114,114,1.5310491632984882,1945,259500,-0.5079060599169641,2,3,9,1,0.7071442282584436,1.2301776702274207,0.8413860009547389,1,0,0,1,0,0,0,1,0
115,115,-0.10935460284129754,1999,176000,-1.2108195457181148,2,2,5,2,-1.1216773571920557,0.8751034362080193,-0.9437289698545078,1,0,0,1,0,1,0,0,0
116,116,-0.8058601462370766,1962,139000,0.25223145749073334,1,3,6,1,-0.18269258276697622,-0.7948908644380686,0.34552073128550365,0,0,0,1,0,0,0,1,0
117,117,-0.7430604660948342,2006,155000,-0.2851161563756216,1,2,5,2,-0.09733033054651442,-0.7948908644380686,-1.1751327623668177,1,0,0,1,0,0,0,1,0
118,118,3.247573753853113,1990,320000,0.38482372584736635,3,5,11,3,1.3874555111063662,2.6939998349912755,-0.5470367541191197,0,0,0,1,0,0,0,1,0
119,119,-0.1131606440620395,2005,163990,-0.29820091970028934,2,3,8,2,-1.1242640921078275,0.8728126346982167,-1.1751327623668177,1,1,0,0,0,0,0,1,0
120,120,-1.0037742897156587,1969,180000,1.9684290151541532,1,1,4,2,-0.4517130140072194,-0.7948908644380686,0.01494388483934686,1,0,0,1,0,0,0,1,0
121,121,-0.7468665073155762,1939,100000,-0.7170878096006523,1,3,4,1,-1.0104477558138785,0.009180465502640388,1.039732108822433,1,0,0,1,0,0,0,0,1
122,122,-0.8286963935615284,1958,136000,-0.12321401817173283,1,3,5,1,-0.21373340175623504,-0.7948908644380686,0.4446937852193507,0,0,0,1,0,0,0,1,0
123,123,-0.6022369409273817,1993,153900,-0.3974706574567685,2,2,5,2,0.0940880532205817,-0.7948908644380686,-0.7123251773421981,0,0,1,0,0,0,0,1,0
124,124,0.13423203528618805,1979,181000,1.1990449316636904,2,3,7,2,1.095154465624179,-0.7948908644380686,-0.21645990767296291,0,0,0,1,0,0,0,1,0
125,125,-1.4490811125424683,1935,84500,-0.5914740816838421,1,2,5,0,-1.6623049545883137,-0.7948908644380686,1.13890516275628,1,0,0,0,0,0,0,0,1
126,126,-1.060864908026788,1976,128000,-0.9145805040476374,2,2,5,2,-0.5293150614803664,-0.7948908644380686,-0.18340222302834722,1,0,1,0,0,0,0,1,0
127,127,-1.2854213400505639,1930,87000,-1.008790799985245,1,3,5,0,-0.8345497815414117,-0.7948908644380686,1.337251270623974,1,0,0,0,0,0,0,0,1
128,128,-0.31868686998210544,1966,155000,-0.4501586377774306,1,3,6,2,-1.3001620663802942,0.7811805743061131,0.1141169387731939,1,0,1,0,0,0,0,1,0
129,129,-0.8800779500415449,1958,150000,-0.20887560207055758,1,3,6,2,-0.2835752444820674,-0.7948908644380686,0.37857841593011937,1,0,1,0,0,0,0,1,0
130,130,1.2208568038080183,1966,226000,0.7030451699032856,2,4,8,2,0.13806254678869836,1.3607533562861682,0.1141169387731939,1,1,0,0,0,0,0,1,0
131,131,1.0248456809398072,2000,244000,0.35830527217603975,2,3,7,2,-0.3637640268709861,1.569216293678204,-0.9106712852098922,0,0,1,0,0,0,0,1,0
132,132,-0.35865030279989607,1959,150750,-0.48540026699853567,1,3,7,2,0.42519012243934257,-0.7948908644380686,0.37857841593011937,1,0,0,1,0,0,0,1,0
133,133,-0.41764394172139646,2001,220000,-0.5787382453811655,2,2,6,2,0.34500134005042393,-0.7948908644380686,-0.9437289698545078,0,1,0,0,0,0,0,1,0
134,134,0.3911398176862705,1968,180000,0.028743699905408444,2,3,7,2,1.4443636792533407,-0.7948908644380686,0.04800156948396254,1,0,1,0,0,0,0,1,0
135,135,0.31692201388180224,1970,174000,0.04008382812012048,2,3,7,2,1.3434810175382497,-0.7948908644380686,0.04800156948396254,0,0,0,1,0,0,0,1,0
136,136,-0.5736916317718169,1967,143000,0.03223297012531984,2,3,5,1,0.13288907695715524,-0.7948908644380686,0.1141169387731939,1,0,1,0,0,0,0,1,0
137,137,0.844058722954564,1988,171000,0.15697438048715223,3,5,9,3,2.0600065892069743,-0.7948908644380686,-0.6131521234083511,1,0,0,1,0,0,0,1,0
138,138,0.6404355176448691,1999,230000,-0.1926504955479696,2,3,7,3,-0.4103252553548743,1.1477088158745274,-0.9106712852098922,0,1,0,0,0,0,0,1,0
139,139,0.47296970393222265,1997,231500,0.9169374343838542,2,3,7,2,-0.6069171089535136,1.1202191977568965,-0.8114982312760451,0,0,1,0,0,0,0,1,0
140,140,-1.2397488454016603,1971,115000,0.05753017921967746,1,3,5,0,-0.772468143562894,-0.7948908644380686,0.08105925412857821,0,0,0,0,0,0,0,1,0
141,141,0.4158790856210932,2005,260000,0.25729089930960486,2,3,7,2,1.4779912331583713,-0.7948908644380686,-1.1751327623668177,1,1,0,0,0,0,0,1,0
142,142,-0.24827510739837916,1952,166000,-0.2879075725515507,2,4,6,2,-0.6534783374374018,0.2932398527181615,0.7091552623762761,0,0,0,1,0,0,0,1,0
143,143,-0.02752471659534535,1999,204000,0.028743699905408444,2,3,6,2,0.8752819977835956,-0.7948908644380686,-0.8776136005652765,0,0,1,0,0,0,0,1,0
144,144,0.4044609619588673,1963,125000,-0.18671873617412024,2,6,10,2,1.4624708236637418,-0.7948908644380686,0.21328999270704094,1,0,0,1,0,0,0,0,1
145,145,0.3683035703618187,2004,130000,-1.3343397115029783,2,3,7,2,-0.4982742424911077,0.8980114513060452,-1.142075077722202,1,0,0,1,0,0,0,0,1
146,146,-1.2188156186875796,1931,105000,-0.7066199989409182,1,2,5,1,-0.7440140594894067,-0.7948908644380686,1.3703089552685899,0,0,0,1,0,0,0,0,1
147,147,0.9886882893427585,2001,222500,-0.11606101422091447,2,3,8,2,-0.7207334452474626,1.8418216733447121,-0.9106712852098922,0,1,0,0,0,0,0,1,0
148,148,-0.8286963935615284,2004,141000,-0.4658603537670319,1,3,6,0,-0.21373340175623504,-0.7948908644380686,-1.0759597084329706,0,0,0,0,0,0,0,1,0
149,149,-0.32629895242358936,1936,115000,-0.6856843776214497,1,3,7,1,-0.6896926262582038,0.2313882119534916,1.1058474781116643,1,0,0,1,0,0,0,0,1
150,150,-1.0399316813127073,1975,122000,0.03240743363631541,1,3,5,2,-0.5008609774068792,-0.7948908644380686,-0.15034453838373155,1,0,0,1,0,0,0,1,0
151,151,0.37020659097218966,2007,372402,0.6491359450056545,2,2,6,3,1.4159095951798535,-0.7948908644380686,-1.1751327623668177,0,0,1,0,0,0,0,1,0
152,152,0.9087614237071774,1971,190000,0.8082466670336143,2,4,8,2,-0.16975890818811837,1.2576672883450517,-0.0511714844498845,1,0,1,0,0,0,0,1,0
153,153,-0.5013768485777196,1960,235000,0.5809207122063867,1,1,4,2,0.23118500375647486,-0.7948908644380686,0.37857841593011937,0,0,1,0,0,0,0,1,0
154,154,-0.6003339203170106,1923,125000,0.20407952845595606,1,4,7,1,0.09667478813635327,-0.7948908644380686,1.535597378491668,1,0,0,1,0,0,0,0,1
155,155,-0.7982480637955927,1924,79000,-0.09948698067633534,1,2,5,0,-1.5277947389681923,0.4054891266984884,1.568655063136284,0,0,0,0,0,0,0,1,0
156,156,-0.9048172179763676,1950,109500,-0.5181994070657028,1,2,5,2,-0.3172027983870978,-0.7948908644380686,0.6430398930870448,1,0,0,1,0,0,0,1,0
157,157,0.8611859084479028,2009,269500,0.31974883624601885,2,4,8,3,-1.0052742859823351,1.9403261382662236,-1.1751327623668177,0,1,0,0,0,0,0,1,0
158,158,0.8212224756301122,2004,254900,0.4155293037825866,2,3,8,2,-0.4439528092599047,1.3951153789332071,-1.0098443391437393,0,0,1,0,0,1,0,0,0
159,159,1.8012780899711673,2005,320000,1.606417229838346,2,4,9,2,0.5933278919644945,1.6562667510507023,-1.1751327623668177,1,0,1,0,0,0,0,1,0
160,160,-0.5394372607851392,1984,162500,0.1656975560369307,2,3,6,2,0.17945030544104348,-0.7948908644380686,-0.414806015540657,0,0,0,1,0,0,0,1,0
161,161,2.1933003357075895,2003,412500,0.6137198522735539,2,3,10,3,1.058940176803377,1.7158275903055697,-1.0429020237883548,0,1,0,0,0,0,0,1,0
162,162,0.04859610781949389,2005,220000,0.3509778047142258,2,3,7,2,0.9787513944144584,-0.7948908644380686,-1.0429020237883548,0,0,1,0,0,0,0,1,0
